title,overview,genres,poster_path,vote_average
Carnal Knowledge,"Two lifelong friends navigate complex sexual encounters and emotional entanglements, wrestling with societal norms and personal desires.","Drama, Romance, Comedy",/l7e1qP8Mq97W1Wg14FNnbz1OxmG.jpg,6.6
Danse mexicaine,"A man and a woman dance ""jarabe tapatío"" while some people watch.",Documentary,,8.0
Honey,"A surreal erotic fantasy about a young woman who checks into a bizarre, labyrinthine hotel.",Drama,/i8DSB20bvAhn8WgpQJIhLbNW9Yj.jpg,4.85
Resurrection,"In a future where humanity has surrendered its ability to dream in exchange for immortality, an outcast finds illusion, nightmarish visions, and beauty in an intoxicating world of his own making.","Science Fiction, Drama",/n4YEPanrb976XfPKjSsHaIrlSt9.jpg,7.2
Newness,"In contemporary Los Angeles, two millennials navigating a social media–driven hookup culture begin a relationship that pushes both emotional and physical boundaries.","Romance, Drama",/vySlYPqOrI5s8Nu6bzpGKQbotVy.jpg,6.053
Windtalkers,"Joe Enders is a gung-ho Marine assigned to protect a ""windtalker"" - one of several Navajo Indians who were used to relay messages during World War II because their spoken language was indecipherable to Japanese code breakers.","War, Action",/547q4HXlvEcS06lujfb2yzsTP3H.jpg,6.3
Gladiator Underground,"Two brothers compete in the world's deadliest underground fighting tournament, where they must decide whether to play by the rules or to cast their honor aside and team up to bring down the dark syndicate running the tournament.",Action,/qLN16AeIjS5P5Kk5B6pBi1Mh1mi.jpg,7.6
Russian Mom,"Jang-ho who dreams of becoming a chef is pretty close to his dad Yeong-soo; enough to talk about his girlfriend and they live alone. One day, Yeong-soo tells Jang-ho that he's getting remarried to a Russian woman. Jang-ho accepts this and meets Olga. He is surprised to see a young and beautiful woman standing before him. A few days later, Yeong-soo goes to Russia on a business trip and Jang-ho and Olga get to know each other.","Drama, Romance",/hktmN8qVDyzp3I9f7veWfF6l45c.jpg,5.5
The Secret World of Arrietty,"14-year-old Arrietty and the rest of the Clock family live in peaceful anonymity as they make their own home from items ""borrowed"" from the house's human inhabitants. However, life changes for the Clocks when a human boy discovers Arrietty.","Fantasy, Animation, Family",/3lSRaSjDp2nkXMQkzzjpRi3035O.jpg,7.671
Dawn of the Dead,"During an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia SWAT team members, a traffic reporter, and his television-executive girlfriend seek refuge in a secluded shopping mall.","Horror, Science Fiction",/70MY8H0bLMvXf8ED2SgVMPhDVVM.jpg,7.5
Naked Killer,A young woman is trained by a professional assassin to become her partner in crime.,"Action, Crime, Thriller",/d9V3lIqF0fyQfMe4CUl86N0nQfJ.jpg,6.1
48 Hours,"When sophomore Tyler Cameron vanishes without a trace, his roommate Brandon James receives a chilling warning: he has 48 hours to find him… or to discover what’s left. Every hour brings new threats, new clues, and the terrifying realization that someone is watching Brandon’s every move.","Horror, Mystery, Comedy, Action",/6oghuDlvc5fu0jcfsiCYIpY3rnU.jpg,0.0
Zetsu-Rin! Invisible Hentai Man: Second Virgin and Magic Potion,"The protagonist, who uses the 'Elixir of Iga' for self-interest and spends his days in the sake pond meat forest, makes a mistake in using the medicine and becomes an invisible human. An erotic comedy that is bound to burst into laughter about the true love of a man who has lost everything and finally finds true love with a woman of destiny, full of naughty perspectives.",,/wCssgL1wCG9cIUZRK7iESE9xnva.jpg,0.0
The Deadly Little Mermaid,"Some secrets are better left at the bottom of the ocean. Once she's in your house, there is no escape. When a struggling artist pulls a beautiful, unconscious woman from the freezing coastal waters, he thinks he’s performed a miracle. But as she recovers within the walls of his secluded home, a series of unsettling events leads him to a terrifying realization: her presence is no coincidence. She is inextricably linked to the same watery grave that claimed his family years ago.",Horror,/uye25uG7k8r3NNPLyPiKOiRnFRF.jpg,4.865
Innocence,,Drama,/vg7GNRkweav1CWtKnW27jAZGaaV.jpg,0.0
Batman Forever,"Batman faces off against two foes: the schizophrenic, horribly scarred former District Attorney Harvey Dent, aka Two-Face, and the Riddler, a disgruntled ex-Wayne Enterprises inventor seeking revenge against his former employer by unleashing his brain-sucking weapon on Gotham City's residents. As the caped crusader also copes with tortured memories of his parents' murder, he has a new romance, with psychologist Chase Meridian.","Action, Crime, Fantasy",/i0fJS8M5UKoETjjJ0zwUiKaR8tr.jpg,5.459
The Rundown,"When Travis, the mouthy son of a criminal, disappears in the Amazon in search of a treasured artifact, his father sends in Beck, who becomes Travis's rival for the affections of Mariana, a mysterious Brazilian woman. With his steely disposition, Beck is a man of few words -- but it takes him all the discipline he can muster to work with Travis to nab a tyrant who's after the same treasure.","Adventure, Action, Comedy, Thriller",/dJX06UwlLIwbLLt9UQ6DlkHF4jz.jpg,6.4
The Texas Chainsaw Massacre,"After picking up a traumatized young hitchhiker, five friends find themselves stalked and hunted by a chainsaw-wielding killer and his family of equally psychopathic killers.",Horror,/781px1eOtfVt1RdIsL4Dt1s3x7R.jpg,6.306
A Dog's Purpose,A dog goes on quest to discover his purpose in life over the course of several lifetimes with multiple owners.,"Adventure, Fantasy, Family, Drama",/3jcNvhtVQe5Neoffdic39fRactM.jpg,7.642
Tom Clancy's Without Remorse,An elite Navy SEAL uncovers an international conspiracy while seeking justice for the murder of his pregnant wife.,"Action, Thriller, War",/6OnlqShdRinhJwV1uGiRE70lD63.jpg,6.939
Closing Hour,A young woman is stalked by a man who is becoming increasingly infatuated with her.,"Horror, Thriller",/pMWyLQkCDWXu0RFvuaXCa0qlewc.jpg,0.0
Prince,Directed by S. Suleman,"Romance, Family, Drama",,0.0
The Host,"A teenage girl is captured by a giant mutated squid-like creature that appears from Seoul's Han River after toxic waste was dumped in it, prompting her family into a frantic search for her.","Horror, Drama, Science Fiction",/m3OE5bpcGHMWYlPkYvgIrncuuGN.jpg,6.974
Tunes,"An aspiring artist, facing failure and self-doubt, strives to create a song that could potentially change his future.","Animation, Music, Romance",/4Nn2cpnnNxO3VlxjIA3V9yHPTfT.jpg,0.0
